0x8aebac,Person 1,Person 2,Person 3,Person 4,Person 5,Person 6,Person 7,Initial Support Level 1,Initial Support Level 2,Initial Support Level 3,Initial Support Level 4,Initial Support Level 5,Initial Support Level 6,Initial Support Level 7,Support Growth Rate 1,Support Growth Rate 2,Support Growth Rate 3,Support Growth Rate 4,Support Growth Rate 5,Support Growth Rate 6,Support Growth Rate 7,Number of Supported Characters,Separator (Use 0x00),Separator (Use 0x00)
0x88AED2C Default Forde,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AED44 Default Tana,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AED5C Default Innes,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AED74 Default Gerik,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AED8C Default Tethys,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEDA4 Default Marisa,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEDBC Default Saleh,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEDD4 Default Ewan,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEDEC Default L'Arachel,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEE04 Default Dozla,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEE1C Default Cormag,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEE34 Default Amelia,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEE4C Default Rennac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEE64 Default Duessel,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEE7C Default Myrrh,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEE94 Default Knoll,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEEAC Default Syrene,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
